Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok:]-drop-|[TCP:options-mss:14230]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop::1]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:replace:23150}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::2]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-nop:corrupt}(tamper{TCP:chksum:replace:16596}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:reserved:0]-tamper{TCP:reserved:replace:0}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-nop::0]-duplicate(duplicate,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:chksum:replace:16596}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-mss:replace:20959}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-sackok::0]-tamper{TCP:chksum:replace:38028}-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-uto:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:seq:corrupt}(tamper{TCP:options-altchksumopt:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:replace:24}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok::0]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|[TCP:options-sack:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok::0]-duplicate(,tamper{TCP:reserved:replace:7})-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-eol:corrupt}(tamper{TCP:options-eol:corrupt},)-|[TCP:flags:PA]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
