Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-uto:replace:169}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksum:252]-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-eol:replace:}(tamper{TCP:options-md5header:corrupt},)-|[TCP:options-eol::1]-drop-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sack:]-drop-|[TCP:chksum:27991]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,"[TCP:options-sack::2]-tamper{TCP:options-uto:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:dataofs:6]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:ack:replace:3380825525}(tamper{TCP:options-timestamp:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:chksum:43495:2]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,[TCP:seq:105612254]-tamper{TCP:dport:replace:11969}-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-sackok::0]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-uto:replace:148}(tamper{TCP:options-sack:corrupt}(tamper{TCP:chksum:corrupt}(drop,),),)-|",1,[-1000]
-1000.0,[TCP:options-sack::0]-fragment{tcp:-1:False}-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-tamper{TCP:options-sack:corrupt}-|[TCP:options-sackok::3]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-sackok::0]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-md5header:d5a0ab5bafe0d3225ad61bbf7ee2f995:4]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:replace:__DNS_REQUEST__}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:__HTTP_REQUEST__}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-uto:149]-duplicate-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol::0]-fragment{tcp:52:True:30}(,tamper{TCP:options-sack:corrupt})-|[TCP:options-nop:]-drop-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-duplicate-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:window:110:4]-tamper{TCP:options-uto:replace:183}(tamper{TCP:dataofs:corrupt}(fragment{tcp:-1:False},),)-|",1,[-1000]
-20.0,[TCP:flags:FSRPAE]-drop-|[TCP:options-mss:26294]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-20]
-20.0,"[TCP:options-timestamp:1511077136]-tamper{TCP:ack:corrupt}(duplicate,)-|[TCP:urgptr:21888]-duplicate-|",1,[-20]
-20.0,"[TCP:urgptr:18177]-tamper{TCP:sport:replace:62916}(duplicate,)-|[TCP:chksum:54943]-duplicate-|",1,[-20]
-20.0,"[TCP:seq:1873190505]-tamper{TCP:seq:replace:2329298951}(tamper{TCP:window:replace:10},)-|[TCP:dataofs:7]-duplicate-|",1,[-20]
-20.0,"[TCP:ack:2391179284]-fragment{tcp:-1:True}(,tamper{TCP:dport:corrupt})-|[TCP:options-altchksum:31]-tamper{TCP:options-wscale:replace:237}-|",1,[-20]
-20.0,"[TCP:chksum:12666:4]-fragment{tcp:-1:True}(,tamper{TCP:options-sack:replace:})-|[TCP:options-mss:34646]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-mss:58344]-fragment{tcp:-1:False}(duplicate,)-|[TCP:options-wscale:195]-drop-|",1,[-20]
-20.0,"[TCP:urgptr:22409]-tamper{TCP:ack:replace:1568233133}(duplicate,)-|[TCP:options-mss:61776]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:urgptr:50903:3]-fragment{tcp:-1:True}(,tamper{TCP:options-mss:corrupt})-|[TCP:flags:RA]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-md5header:844619bed8ff0444c090bdf2d822da14]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-altchksumopt:corrupt},)-|[TCP:dport:8107]-duplicate-|",1,[-20]
-20.0,"[TCP:load:]-duplicate(,tamper{TCP:dport:corrupt})-|[TCP:options-wscale:26]-drop-|",1,[-20]
