Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-uto:170]-fragment{tcp:-1:True}(,tamper{TCP:options-eol:corrupt})-|[TCP:options-sackok:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::0]-drop-|[TCP:seq:1998004807]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:replace:10514}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::1]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:urgptr:56458:0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-nop::0]-tamper{TCP:dataofs:corrupt}(fragment{tcp:13:False:39}(,fragment{ip:-1:False:8}),)-|[TCP:options-sack:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:dport:replace:8360}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol::0]-duplicate(fragment{tcp:36:False:10},)-|[TCP:options-nop::0]-tamper{TCP:sport:replace:16371}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:options-mss:51398]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-duplicate-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-mss:51398]-fragment{tcp:-1:False:21}-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-fragment{tcp:-1:True:8}-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:chksum:17043]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,[TCP:sport:37089:1]-tamper{TCP:options-uto:corrupt}-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:chksum:replace:63867}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:urgptr:replace:50407}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:urgptr:replace:3112}(tamper{TCP:options-uto:corrupt}(tamper{TCP:reserved:replace:4},),)-|[TCP:options-eol::0]-drop-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-|[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:sport:replace:61503}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-altchksum:45]-tamper{TCP:dataofs:replace:9}-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-fragment{ip:-1:True:12}-|[TCP:options-nop:]-|,1,[-1000]
-20.0,"[TCP:options-md5header:2e9118a1bcc43fee1541096472a95f70:3]-fragment{tcp:-1:True}(,tamper{TCP:options-altchksumopt:corrupt})-|[TCP:reserved:3]-drop-|",1,[-20]
-20.0,"[TCP:dataofs:5]-duplicate(,drop)-|[TCP:urgptr:3299:2]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-mss:28150:3]-duplicate(tamper{TCP:window:replace:110},)-|[TCP:options-altchksum:90]-tamper{TCP:options-altchksum:replace:12}-|",1,[-20]
-20.0,"[TCP:options-altchksum:188]-duplicate(duplicate,)-|[TCP:ack:347040590]-tamper{TCP:options-nop:replace:}-|",1,[-20]
-20.0,"[TCP:flags:S]-duplicate(tamper{TCP:options-sack:corrupt},)-|[TCP:window:20:4]-duplicate-|",1,[-20]
-20.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:seq:replace:1023857254}(tamper{TCP:options-nop:replace:},)-|[TCP:options-altchksum:85:3]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:chksum:30558:1]-tamper{TCP:chksum:replace:20307}(tamper{TCP:options-eol:replace:}(tamper{TCP:options-timestamp:corrupt},),)-|[TCP:options-altchksum:246]-tamper{TCP:flags:replace:F}-|",1,[-20]
-20.0,"[TCP:options-uto:154:0]-fragment{tcp:-1:False}(,duplicate(,tamper{TCP:sport:corrupt}))-|[TCP:urgptr:39682]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-md5header:8f7324c6b586cd26fd9d676ce12fdef0]-tamper{TCP:options-nop:replace:}(tamper{TCP:sport:replace:52227},)-|[TCP:urgptr:13896:3]-tamper{TCP:dataofs:replace:3}-|",1,[-20]
-20.0,"[TCP:flags:FA]-duplicate(tamper{TCP:options-nop:corrupt},)-|[TCP:reserved:3]-tamper{TCP:sport:replace:24135}-|",1,[-20]
-20.0,"[TCP:urgptr:36268]-fragment{tcp:-1:True}(fragment{tcp:-1:False},)-|[TCP:options-md5header:7c1fba0ed055cbb02eb9c94048141730]-tamper{TCP:dataofs:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:3383834315]-tamper{TCP:sport:replace:13842}(fragment{tcp:-1:False},)-|[TCP:dport:26536]-tamper{TCP:window:corrupt}-|",1,[-20]
-20.0,"[TCP:flags:FAEC]-tamper{TCP:ack:replace:779726587}(duplicate(drop,),)-|[TCP:dataofs:15:1]-tamper{TCP:flags:corrupt}-|",1,[-20]
-20.0,[TCP:dataofs:1]-|[TCP:load:]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-20]
-10.0,"[TCP:flags:FSRAE]-duplicate(tamper{TCP:dport:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:ack:1035776539]-tamper{TCP:reserved:replace:4}(tamper{TCP:options-sack:replace:}(tamper{TCP:options-altchksumopt:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-md5header:607dccd1b5b1a80401553305628e5c37:3]-fragment{tcp:-1:False}(tamper{TCP:seq:replace:2225617553}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:options-uto:207]-tamper{TCP:options-md5header:replace:0249267acf026133b0639e5afad74820}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:seq:2800130898]-duplicate-|,1,[-10]
-10.0,[TCP:ack:3416032876]-duplicate-|,1,[-10]
-10.0,"[TCP:urgptr:15083]-duplicate(,drop)-|",1,[-10]
-10.0,[TCP:sport:28459]-drop-|,1,[-10]
-10.0,[TCP:dport:13798:4]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:dport:41345:0]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:2363564094:3]-duplicate(,tamper{TCP:options-timestamp:corrupt}(tamper{TCP:seq:corrupt},))-|",1,[-10]
-10.0,"[TCP:options-md5header:ec946e24082bf38c6d5546c76b2492eb]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-uto:replace:228}(tamper{TCP:reserved:corrupt},),)-|",1,[-10]
-10.0,[TCP:options-sackok::3]-fragment{tcp:-1:False}-|[TCP:ack:2997276643]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,[TCP:seq:3303039016]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,[TCP:options-md5header:4cf43b396c39d9664da51f092f215e56]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:reserved:2:4]-tamper{TCP:dataofs:replace:11}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-eol::1]-duplicate(fragment{tcp:-1:True},)-|[TCP:load::0]-tamper{TCP:options-mss:replace:24400}-|",1,[-10]
-10.0,"[TCP:chksum:551]-tamper{TCP:options-sack:corrupt}(duplicate(,fragment{tcp:-1:False}),)-|",1,[-10]
-10.0,"[TCP:seq:906933634]-tamper{TCP:seq:corrupt}(tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-timestamp:replace:3415685834},),)-|",1,[-10]
-10.0,"[TCP:ack:3991412849:2]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:urgptr:29973]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-eol:replace:}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:2860356078]-fragment{ip:-1:True}(,tamper{TCP:dataofs:corrupt}(fragment{tcp:-1:True},))-|",1,[-10]
-10.0,"[TCP:urgptr:49654]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:options-wscale:2]-duplicate-|,1,[-10]
-10.0,"[TCP:ack:1587633334]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:reserved:6:1]-duplicate-|,1,[-10]
-10.0,"[TCP:options-md5header:fd6bfc5819d23f461d36d5daed41e367:3]-tamper{TCP:window:corrupt}(fragment{tcp:16:False},)-|",1,[-10]
-10.0,"[TCP:reserved:2]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:options-sackok::0]-tamper{TCP:load:corrupt}(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,"[TCP:urgptr:178]-fragment{tcp:-1:False}(tamper{TCP:ack:corrupt},)-|",1,[-10]
-10.0,"[TCP:chksum:24620]-duplicate(,fragment{tcp:-1:False}(fragment{tcp:-1:False},))-|",1,[-10]
-10.0,[TCP:dport:36487]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,[TCP:options-timestamp:3075800447]-tamper{TCP:window:corrupt}-|,1,[-10]
