Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-duplicate(tamper{TCP:reserved:replace:7},)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-drop-|,1,[-1000]
-1000.0,[TCP:ack:1806601213]-fragment{tcp:-1:False}-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:window:70]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dataofs:replace:15}(drop,)-|[TCP:options-nop::0]-drop-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-eol::0]-duplicate(duplicate,fragment{tcp:-1:False})-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-eol::0]-duplicate(duplicate(tamper{TCP:options-nop:corrupt},),)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:dport:corrupt}(tamper{TCP:sport:replace:36762},)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol::0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-eol::0]-duplicate(,duplicate)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:flags:FA:4]-tamper{TCP:options-mss:replace:15579}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-duplicate(drop,drop)-|[TCP:options-md5header:3ebefb8bfdbd30a637ca7251b3dcb048]-fragment{tcp:-1:False}-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-duplicate-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-nop:replace:}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol::0]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-mss:replace:62540}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-sack::0]-tamper{TCP:dataofs:corrupt}-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-md5header:b72c138485c5505d1e93e977147debfa]-tamper{TCP:options-mss:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:seq:2258098790]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:window:replace:80}(tamper{TCP:options-uto:replace:51}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dataofs:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-mss:13835]-duplicate(,duplicate)-|[TCP:options-nop:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:sport:corrupt}(tamper{TCP:options-altchksumopt:replace:}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-eol:replace:}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-sack::0]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:dataofs:corrupt}(tamper{TCP:ack:replace:3766096631},),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-timestamp:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:dport:4356]-tamper{TCP:seq:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:flags:FSAUEN]-duplicate(,tamper{TCP:options-nop:replace:})-|",1,[-1000]
-20.0,"[TCP:urgptr:50237]-duplicate(duplicate,)-|[TCP:sport:9363]-tamper{TCP:options-wscale:corrupt}-|",1,[-20]
-20.0,[TCP:urgptr:49551]-drop-|[TCP:options-timestamp:2721075472]-duplicate-|,1,[-20]
-20.0,[TCP:chksum:27214:0]-tamper{TCP:dport:replace:29459}-|[TCP:chksum:35540]-tamper{TCP:options-timestamp:replace:261191448}-|,1,[-20]
-20.0,"[TCP:sport:7163:3]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:flags:replace:SA},)-|[TCP:load:7lw1htvcvb]-duplicate-|",1,[-20]
-20.0,"[TCP:window:130]-fragment{tcp:-1:False}(duplicate,)-|[TCP:options-uto:30]-tamper{TCP:options-md5header:replace:c4e1d8776d5e7c14a9db2f1108d1198e}-|",1,[-20]
-20.0,"[TCP:dataofs:4]-duplicate(fragment{tcp:-1:True},)-|[TCP:ack:1467969679]-tamper{TCP:chksum:corrupt}-|",1,[-20]
-20.0,"[TCP:flags:P]-tamper{TCP:options-nop:replace:}(tamper{TCP:options-nop:corrupt},)-|[TCP:options-mss:62538]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:225]-duplicate(duplicate,)-|[TCP:load:]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:21:1]-tamper{TCP:seq:corrupt}(duplicate(,duplicate),)-|[TCP:seq:1011144455]-tamper{TCP:seq:replace:1684089686}-|",1,[-20]
-20.0,"[TCP:options-md5header:463ea142505d9930e01925977ef81571]-tamper{TCP:seq:replace:1223310933}(duplicate,)-|[TCP:ack:3768625210]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-wscale:17]-duplicate(tamper{TCP:options-timestamp:replace:2637354853},)-|[TCP:flags:R:2]-tamper{TCP:load:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:25:2]-duplicate(duplicate,)-|[TCP:flags:SAUEN]-tamper{TCP:options-sackok:corrupt}-|",1,[-20]
-20.0,"[TCP:dport:47011]-duplicate(tamper{TCP:options-sackok:corrupt},)-|[TCP:flags:RA]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:87]-duplicate(tamper{TCP:chksum:corrupt},)-|[TCP:options-uto:123]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-altchksum:117]-tamper{TCP:sport:corrupt}(tamper{TCP:options-uto:replace:74},)-|[TCP:options-mss:12861]-tamper{TCP:options-altchksum:corrupt}-|",1,[-20]
-20.0,[TCP:options-md5header:3b9d8778592c11678afc4162dfb6c21d]-|[TCP:flags:PU:1]-tamper{TCP:ack:corrupt}-|,1,[-20]
-20.0,"[TCP:options-md5header:a7df9f172fa23d37cb8dc5b12d20a7be]-duplicate(tamper{TCP:options-altchksum:replace:53},fragment{tcp:-1:True})-|[TCP:chksum:21253]-tamper{TCP:options-md5header:corrupt}-|",1,[-20]
-20.0,"[TCP:sport:42694]-duplicate(,fragment{tcp:-1:True}(tamper{TCP:options-nop:replace:},))-|[TCP:dataofs:6:4]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,[TCP:seq:1968416249]-|[TCP:urgptr:37536]-drop-|,1,[-20]
-20.0,[TCP:load:tn5zxfpvy5]-|[TCP:load:xetvkj2kmp]-duplicate-|,1,[-20]
-20.0,[TCP:options-wscale:90:3]-|[TCP:options-wscale:128:1]-fragment{tcp:-1:True}-|,1,[-20]
-10.0,"[TCP:options-altchksum:233]-fragment{tcp:-1:True}(,tamper{TCP:options-mss:corrupt}(drop,))-|",1,[-10]
