Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|[TCP:options-wscale:165]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::2]-|,1,[-1000]
-1000.0,[TCP:options-sack::2]-|,1,[-1000]
-1000.0,[TCP:options-nop::1]-drop-|,1,[-1000]
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,[TCP:options-sackok::0]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:load:__HTTP_REQUEST__]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-uto:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-|[TCP:options-nop::0]-tamper{TCP:options-timestamp:corrupt}(fragment{tcp:-1:True:23},)-|",1,[-1000]
-1000.0,[TCP:flags:PA]-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-fragment{tcp:-1:False}(tamper{TCP:options-altchksum:replace:146}(tamper{TCP:window:replace:170},),)-|[TCP:flags:PA]-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-fragment{tcp:48:False:22}-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:ack:replace:1588954904}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-md5header:bd3f5b13a2bb3ac8e37ed9294f7e3760]-duplicate(tamper{TCP:options-eol:corrupt},)-|[TCP:options-nop:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-tamper{TCP:options-timestamp:replace:1582489617}(tamper{TCP:options-wscale:corrupt}(duplicate,),)-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:sport:replace:33902}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:urgptr:corrupt}(tamper{TCP:urgptr:replace:18562}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-altchksumopt:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|[TCP:options-sack:]-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-tamper{TCP:seq:corrupt}(fragment{ip:-1:False},)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:urgptr:replace:40407}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:urgptr:replace:40109}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
