Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-wscale:22]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-sackok:replace:},)-|[TCP:options-sackok:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-wscale:replace:28}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::2]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:ack:corrupt}(tamper{TCP:ack:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:reserved:0]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-wscale:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::0]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:replace:61}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-altchksum:corrupt}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:ack:replace:2102154850}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-sackok::0]-tamper{TCP:ack:replace:3268568474}(tamper{TCP:sport:replace:32001}(duplicate,),)-|",1,[-1000]
-1000.0,[TCP:dataofs:13:4]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-sackok::0]-duplicate-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-nop:]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok::0]-tamper{TCP:options-uto:corrupt}-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-timestamp:4057196001]-duplicate(,drop)-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-|[TCP:options-sackok::0]-duplicate(tamper{TCP:options-md5header:replace:144d4e282a4069b318e391904e632782},)-|",1,[-1000]
